,Family_History_Treatment,Imm_reason_text,Immigration-Treatmen,Partisan priming,Coerced,Family1_vs_NoFamily0,Slavery1_vs_NoSlavery0,Negative-1_Neutral0_Positive1,Native1_vs_NoNative0,Nonsense
3,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
4,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
8,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
9,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
13,1,United States,My generation,0,0,0,0,0,0,1
14,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
16,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
17,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
22,1,A better life.,My grandparents' generation,0,0,0,0,1,0,0
24,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
25,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
27,1,For economic growth,My generation,0,0,0,0,0,0,0
29,1,Born here,My great-great-grandparents' generation or earlier,0,0,0,0,0,1,0
31,1,1,My generation,0,0,0,0,0,0,0
33,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
34,1,The potato famine in Ireland and to have religious freedom,My great-grandparents' generation,0,0,0,0,1,0,0
36,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
40,1,To make a better life,My parents' generation,0,0,0,0,1,0,0
43,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
45,1,hertage,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,0
47,1,NA,My generation,na,na,NA,NA,NA,NA,NA
52,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
55,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
56,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
57,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
59,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
60,1,they were kidnapped and brought here as slaves,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
61,1,Slavery,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
63,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
68,1,my family was seeking a better future in the US,My generation,0,0,1,0,1,0,0
70,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
71,1,best,My generation,0,0,0,0,0,0,1
72,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
80,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
81,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
83,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
88,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
89,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
91,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
92,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
93,1,NA,My generation,na,na,NA,NA,NA,NA,NA
94,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
95,1,Been here,My great-great-grandparents' generation or earlier,0,0,0,0,0,1,0
96,1,My grandma fell in love wuth my grandpa so they got married and she came over here,My grandparents' generation,0,0,1,0,1,0,0
97,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
98,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
100,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
101,1,I don't know about that,My grandparents' generation,0,0,0,0,0,0,0
102,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
